task_id,difficulty,Pass_at_1,Final_Pass,Mean_Latency_Sec,Mean_Prompt_Tokens,Mean_Completion_Tokens,Total_Runs
easy_01,easy,1.0,1.0,15.296,388.4,382.8,5
easy_02,easy,1.0,1.0,13.382,329.0,324.6,5
easy_03,easy,1.0,1.0,10.748,309.4,423.4,5
easy_04,easy,0.4,0.4,9.918,323.0,359.0,5
easy_05,easy,0.2,0.2,25.228,260.2,772.2,5
easy_06,easy,0.0,0.0,18.09,347.0,435.0,5
hard_01,hard,0.4,0.4,20.292,510.2,735.0,5
hard_02,hard,1.0,1.0,18.49,529.4,428.2,5
hard_03,hard,0.8,0.8,15.516,486.6,511.0,5
hard_04,hard,0.8,0.8,16.792,466.0,624.6,5
hard_05,hard,0.6,0.6,11.578,444.8,356.4,5
hard_06,hard,1.0,1.0,14.614,368.6,497.0,5
med_01,medium,0.6,0.6,30.028,475.8,774.0,5
med_02,medium,1.0,1.0,17.496,501.0,439.0,5
med_03,medium,0.8,0.8,21.286,372.0,701.6,5
med_04,medium,0.6,0.6,24.442,370.8,638.8,5
med_05,medium,1.0,1.0,13.782,366.4,335.8,5
med_06,medium,0.8,0.8,20.19,371.8,533.2,5
