task_id,difficulty,Pass_at_1,Final_Pass,Mean_Latency_Sec,Mean_Prompt_Tokens,Mean_Completion_Tokens,Total_Runs,Fallback_Rate,QA_Exhausted_Rate,Mean_QA_Retries
easy_01,easy,0.0,0.0,38.272,781.2,149.2,5,0.0,0.0,0.0
easy_02,easy,0.0,0.0,126.986,1119.6,478.0,5,0.0,1.0,2.0
easy_03,easy,0.0,0.0,103.678,1072.0,363.8,5,0.0,1.0,2.0
easy_04,easy,0.2,0.2,96.814,1046.8,331.2,5,0.0,0.8,1.6
easy_05,easy,0.6,0.6,138.792,1224.8,563.2,5,0.0,0.4,1.4
easy_06,easy,0.0,0.0,122.516,1207.4,434.0,5,0.0,1.0,2.0
hard_01,hard,0.0,0.0,242.78,1231.4,603.2,5,0.2,0.4,0.8
hard_02,hard,0.0,0.0,175.402,984.2,443.0,5,0.4,0.0,0.0
hard_03,hard,0.0,0.0,207.72,873.2,423.0,5,0.0,0.4,0.8
hard_04,hard,0.0,0.0,173.926,1503.4,684.4,5,0.4,0.6,1.2
hard_05,hard,0.0,0.0,160.864,1532.2,655.4,5,0.0,1.0,2.0
hard_06,hard,0.0,0.0,147.552,1315.4,626.8,5,0.0,1.0,2.0
med_01,medium,0.0,0.0,211.684,1665.2,765.0,5,0.0,1.0,2.0
med_02,medium,0.0,0.0,181.138,1698.8,624.8,5,0.0,1.0,2.0
med_03,medium,0.0,0.0,207.024,1415.4,767.6,5,0.0,1.0,2.0
med_04,medium,0.0,0.0,136.912,1280.2,486.4,5,0.0,1.0,2.0
med_05,medium,0.0,0.0,166.496,1364.4,598.6,5,0.0,1.0,2.0
med_06,medium,0.0,0.0,255.2,1187.4,796.8,5,0.0,0.8,1.6
