System,Tier,N,Pass Count,Pass@1 (%),Wilson 95% CI Low (%),Wilson 95% CI High (%),Pass@1 [95% CI],Mean Latency (s),Mean Prompt Tokens,Mean Comp Tokens,Total Tokens,Fallback Rate (%),QA Exhausted (%),Mean QA Retries
Groq Monolithic (120B),Overall,90,77,85.56,76.84,91.36,"85.56% [76.84%, 91.36%]",8.3,413.9,464.6,878.5,95.56,0.0,0.0
Groq Monolithic (120B),Easy,30,22,73.33,55.55,85.82,"73.33% [55.55%, 85.82%]",7.45,332.3,410.7,743.0,86.67,0.0,0.0
Groq Monolithic (120B),Medium,30,27,90.0,74.38,96.54,"90.00% [74.38%, 96.54%]",8.59,416.2,485.3,901.5,100.0,0.0,0.0
Groq Monolithic (120B),Hard,30,28,93.33,78.68,98.15,"93.33% [78.68%, 98.15%]",8.84,493.2,497.9,991.1,100.0,0.0,0.0
Swarm v1 (Header-Only QA),Overall,90,0,0.0,0.0,4.09,"0.00% [0.00%, 4.09%]",87.91,889.6,312.6,1202.3,7.78,0.0,0.03
Swarm v1 (Header-Only QA),Easy,30,0,0.0,0.0,11.35,"0.00% [0.00%, 11.35%]",54.69,742.0,204.2,946.2,0.0,0.0,0.03
Swarm v1 (Header-Only QA),Medium,30,0,0.0,0.0,11.35,"0.00% [0.00%, 11.35%]",92.9,944.8,335.4,1280.2,0.0,0.0,0.07
Swarm v1 (Header-Only QA),Hard,30,0,0.0,0.0,11.35,"0.00% [0.00%, 11.35%]",116.13,982.1,398.3,1380.4,23.33,0.0,0.0
Swarm v2 (Content-Validated QA),Overall,90,4,4.44,1.74,10.88,"4.44% [1.74%, 10.88%]",160.76,1250.2,544.1,1794.3,5.56,74.44,1.52
Swarm v2 (Content-Validated QA),Easy,30,4,13.33,5.31,29.68,"13.33% [5.31%, 29.68%]",104.51,1075.3,386.6,1461.9,0.0,70.0,1.5
Swarm v2 (Content-Validated QA),Medium,30,0,0.0,0.0,11.35,"0.00% [0.00%, 11.35%]",193.08,1435.2,673.2,2108.4,0.0,96.67,1.93
Swarm v2 (Content-Validated QA),Hard,30,0,0.0,0.0,11.35,"0.00% [0.00%, 11.35%]",184.71,1240.0,572.6,1812.6,16.67,56.67,1.13
