task_id,difficulty,Swarm_Pass_at_1,Swarm_Final_Pass,Swarm_Mean_Iterations,Swarm_Mean_Latency_Sec,Swarm_Mean_Tokens,Monolithic_Pass_at_1,Monolithic_Mean_Latency_Sec,Monolithic_Mean_Tokens,Monolithic_Cost_USD,Self_Correction_Gain
easy_01,easy,1.0,1.0,1.0,1.597,69.0,0.6,1.486,458.6,0.011,0.0
easy_02,easy,0.667,1.0,1.333,1.583,143.0,0.8,1.354,438.6,0.011,0.333
easy_03,easy,0.667,1.0,1.333,1.543,114.0,0.8,1.384,460.0,0.011,0.333
easy_04,easy,0.667,1.0,1.333,1.44,115.0,0.8,1.524,476.8,0.012,0.333
easy_05,easy,0.667,1.0,1.333,2.027,139.0,0.8,1.426,503.4,0.012,0.333
easy_06,easy,0.667,1.0,1.333,1.533,147.0,1.0,1.436,497.2,0.012,0.333
hard_01,hard,0.333,1.0,3.0,2.34,306.0,0.4,1.668,463.4,0.012,0.667
hard_02,hard,0.0,1.0,3.667,2.78,313.0,0.4,1.696,468.0,0.011,1.0
hard_03,hard,0.333,1.0,2.667,2.103,222.0,0.8,1.516,460.8,0.012,0.667
hard_04,hard,0.0,1.0,3.0,2.19,237.0,0.4,1.496,476.8,0.012,1.0
hard_05,hard,0.333,0.667,3.0,2.107,231.667,0.2,1.652,436.6,0.011,0.333
hard_06,hard,0.0,1.0,3.0,2.223,262.0,0.4,1.734,455.4,0.011,1.0
med_01,medium,0.333,1.0,1.667,1.8,155.0,0.4,1.408,462.4,0.011,0.667
med_02,medium,0.0,1.0,2.333,1.997,177.0,0.6,1.522,488.2,0.012,1.0
med_03,medium,0.333,1.0,1.667,1.693,180.0,0.8,1.428,465.6,0.011,0.667
med_04,medium,0.0,1.0,2.333,2.007,197.0,0.6,1.486,458.4,0.012,1.0
med_05,medium,0.333,1.0,2.333,2.053,194.0,0.4,1.388,500.6,0.012,0.667
med_06,medium,0.333,1.0,2.0,1.77,168.0,0.4,1.496,530.4,0.012,0.667
